review_id,text,relevance,sentiment,behaviours,barriers
b21618ab-d443-49f1-871c-253e1823a290,They cancelled my order without any proper reason,Direct,negative,Compared products,"Quality uncertainty, Delivery"
fb2f8c97-6406-4e6d-890c-ae30681befb1,awesome 😎 aapp 👍✅,Indirect,positive,"Purchased, Compared products, Wishlisted/Saved","Product appearance, Product discovery, Delivery, Product comparison, Availability, Reviews/ratings, Recommendations"
f60894d6-13a5-4e92-9363-9449e5c4386a,"I have been a Myntra customer for years but of late the product quality has deteriorated. customer care / contact us goes straight to AI and no solution we can find ever . product are send without quality check,. Tags are missing. The product sent of different company than what is ordered. seems like a big scam is going on . The app developer is responsible for providing good service. Return request are not being processed. Extremely disappointed.",Indirect,negative,"Purchased, Compared products, Waiting, Wishlisted/Saved","Quality uncertainty, Return/Exchange, Price, Product appearance, Reviews/ratings, Size/Fit, Delivery, Product discovery, Product comparison, Availability, Recommendations, Choice overload, Discount waiting, Trust"
a7440404-17e2-4102-9c5e-541d67fb1a1c,value for money nine shoes,Direct,positive,"Purchased, Compared products, Wishlisted/Saved","Price, Size/Fit, Product comparison, Availability"
72b8dae2-f910-49e7-b054-d894df80795d,very good experience and myn cash are my favourite,Indirect,positive,"Purchased, Wishlisted/Saved, Compared products",Reviews/ratings
a906d3dd-818c-43a4-aee4-c3021209d371,very good 👍,Indirect,positive,"Purchased, Compared products, Wishlisted/Saved","Reviews/ratings, Price, Product appearance, Availability, Delivery, Size/Fit"
dbc12083-defd-4dc1-97f9-824069ce9d6b,nice app,Indirect,positive,"Purchased, Wishlisted/Saved","Delivery, Product discovery, Reviews/ratings"
905c9aae-df97-4c47-a463-d72976096d8a,this is good platform for shopping,Direct,positive,"Wishlisted/Saved, Purchased, Compared products","Product comparison, Delivery, Product discovery, Size/Fit, Price, Reviews/ratings"
51b80e90-47b9-4f68-8f1e-a957e6fb9a45,sai h ceez,Indirect,neutral,"Purchased, Considered but didn't buy, Compared products",Product appearance
3cd0acca-0e81-4266-a08d-0efd782dc914,"What exactly happened to you Myntra? Since when you stopped caring about customers? How can you call Online Shopping app when you can't even deliver the products to users after charging them Money! Products won't be delivered even after weeks of promised delivery date. When issue was raised you simply keep on extending it to next 48 hours, it always ask us to wait for 24hrs simply to extend it to further days. Only reason you'll have is ""high volume"". How is that a valid reason for torturing us.",Indirect,negative,"Purchased, Compared products, Waiting","Delivery, Discount waiting, Price, Quality uncertainty, Availability, Choice overload, Product comparison, Product discovery, Size/Fit"
05c30482-8e83-40e9-bdaf-0688da88375d,excellent,Indirect,positive,"Purchased, Compared products, Wishlisted/Saved","Reviews/ratings, Product appearance, Availability, Price, Size/Fit, Delivery, Recommendations, Trust, Return/Exchange"
293cf17f-cf11-45d4-9ce6-4754f5643edb,excellent,Indirect,positive,"Purchased, Compared products, Wishlisted/Saved","Reviews/ratings, Product appearance, Availability, Price, Size/Fit, Delivery, Recommendations, Trust, Return/Exchange"
e21bad8b-37ba-45b3-824f-b8bf135c9c6a,👍🏻😊,Indirect,positive,"Purchased, Wishlisted/Saved, Compared products","Availability, Reviews/ratings, Product appearance, Trust"
ca34704f-c29d-4c48-b181-4c1b28687f45,very good,Indirect,positive,"Purchased, Compared products, Wishlisted/Saved","Reviews/ratings, Price, Product appearance, Availability, Delivery, Size/Fit, Recommendations"
793ce2c3-f41f-4805-b89c-19c60f741a2f,Excellent 👍,Indirect,positive,"Purchased, Compared products, Wishlisted/Saved","Reviews/ratings, Product appearance, Availability, Size/Fit, Price, Delivery, Return/Exchange, Trust, Recommendations, Product discovery, Product comparison"
